coarse_cell_type	fine_cell_type	harmonized_coarse	harmonized_fine	cell_ontology_id	notes
B cell	B cell	B cell	B cell		
B cell	IgA plasma cell	plasma cell	IgA plasma cell		
B cell	mature B cell	B cell	mature B cell		
B cell	memory B cell	B cell	memory B cell		
B cell	naive B cell	B cell	naive B cell		
B cell	plasma cell	plasma cell	plasma cell		
B cell	plasmablast	plasma cell	plasmablast		
T cell	CD4-positive, alpha-beta T cell	T cell	CD4-positive, alpha-beta T cell		
T cell	CD4-positive, alpha-beta memory T cell	T cell	CD4-positive, alpha-beta memory T cell		
T cell	CD8-positive, alpha-beta T cell	T cell	CD8-positive, alpha-beta T cell		
T cell	CD8-positive, alpha-beta cytotoxic T cell	T cell	CD8-positive, alpha-beta cytotoxic T cell		
T cell	CD8-positive, alpha-beta memory T cell	T cell	CD8-positive, alpha-beta memory T cell		
T cell	CD8-positive, alpha-beta memory T cell, CD45RO-positive	T cell	CD8-positive, alpha-beta memory T cell, CD45RO-positive		
T cell	T cell	T cell	T cell		
T cell	alpha-beta T cell	T cell	alpha-beta T cell		
T cell	central memory CD4-positive, alpha-beta T cell	T cell	central memory CD4-positive, alpha-beta T cell		
T cell	effector memory CD4-positive, alpha-beta T cell	T cell	effector memory CD4-positive, alpha-beta T cell		
T cell	gamma-delta T cell	T cell	gamma-delta T cell		
T cell	mature T cell	T cell	mature T cell		
T cell	mucosal invariant T cell	T cell	mucosal invariant T cell		
T cell	naive thymus-derived CD4-positive, alpha-beta T cell	T cell	naive thymus-derived CD4-positive, alpha-beta T cell		
T cell	naive thymus-derived CD8-positive, alpha-beta T cell	T cell	naive thymus-derived CD8-positive, alpha-beta T cell		
T cell	regulatory T cell	T cell	regulatory T cell		
cell	cell	unknown	cell		
glial cell	microglial cell	microglial cell	microglial cell		
hematopoietic cell	erythrocyte	erythrocyte	erythrocyte		
hematopoietic cell	platelet	platelet	platelet		
hematopoietic precursor cell	hematopoietic multipotent progenitor cell	progenitor	hematopoietic multipotent progenitor cell		
hematopoietic precursor cell	hematopoietic stem cell	progenitor	hematopoietic stem cell		
leukocyte	leukocyte	immune cell	leukocyte		
lymphocyte	CD16-negative, CD56-bright natural killer cell, human	natural killer cell	CD16-negative, CD56-bright natural killer cell, human		
lymphocyte	CD16-positive, CD56-dim natural killer cell, human	natural killer cell	CD16-positive, CD56-dim natural killer cell, human		
lymphocyte	lymphocyte	lymphocyte	lymphocyte		
lymphocyte	natural killer cell	natural killer cell	natural killer cell		
mast cell	mast cell	mast cell	mast cell		
monocyte	CD14-low, CD16-positive monocyte	monocyte	CD14-low, CD16-positive monocyte		
monocyte	CD14-positive monocyte	monocyte	CD14-positive monocyte		
monocyte	classical monocyte	monocyte	classical monocyte		
monocyte	monocyte	monocyte	monocyte		
monocyte	non-classical monocyte	monocyte	non-classical monocyte		
mononuclear cell	dendritic cell	dendritic cell	dendritic cell		
mononuclear cell	plasmacytoid dendritic cell	dendritic cell	plasmacytoid dendritic cell		
myeloid leukocyte	CD141-positive myeloid dendritic cell	dendritic cell	CD141-positive myeloid dendritic cell		
myeloid leukocyte	CD1c-positive myeloid dendritic cell	dendritic cell	CD1c-positive myeloid dendritic cell		
stem cell	common lymphoid progenitor	progenitor	common lymphoid progenitor		
stem cell	erythroid progenitor cell	progenitor	erythroid progenitor cell		
stem cell	progenitor cell	progenitor	progenitor cell		
