gene	chrom	tss	strand	cell_type	curated_locus_config
CSF1R	chr5	150113372	-	monocyte	CausalDiscovery/configs/loci/csf1r_e1e5_regions.tsv
CD14	chr5	140633700	-	monocyte	CausalDiscovery/configs/loci/cd14_regions678.tsv
IL1B	chr2	112836816	-	monocyte	CausalDiscovery/configs/loci/il1b_regions.tsv
